避難場所_名称,地方公共団体コード,都道府県,指定区市町村名,住所,緯度,経度
北の丸公園,131016,東京都,千代田区,東京都千代田区北の丸公園1ほか,35.691980,139.750564
皇居東御苑,131016,東京都,千代田区,東京都千代田区千代田1,35.686863,139.757162
皇居外苑,131016,東京都,千代田区,東京都千代田区皇居外苑1ほか,35.680258,139.757693
日比谷公園,131016,東京都,千代田区,東京都千代田区日比谷公園1,35.673576,139.755893
真田堀運動場,131016,東京都,千代田区,東京都千代田区紀尾井町5ほか,35.682780,139.731059
外濠公園,131016,東京都,千代田区,東京都千代田区五番町先,35.688640,139.730970
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676558,139.771358
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673233,139.771678
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672333,139.761326
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665698,139.765034
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672201,139.778753
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668438,139.776409
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.667959,139.771414
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674903,139.775664
明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.675970,139.781569
常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688476,139.770558
十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.690646,139.777104
日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684677,139.781410
有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683272,139.787993
久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689029,139.784316
日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692498,139.787096
阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-18,35.679697,139.776766
佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668626,139.784580
佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668054,139.785119
月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660632,139.780067
月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660249,139.775825
月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658852,139.785539
晴海中学校,131024,東京都,中央区,東京都中央区晴海1-5-3,35.659827,139.784584
豊海小学校,131024,東京都,中央区,東京都中央区豊海3-1,35.653533,139.771473
中央区役所,131024,東京都,中央区,東京都中央区築地1-1-1,35.670585,139.772006
日本橋区民センター,131024,東京都,中央区,東京都中央区日本橋蛎殻町1-31-1,35.682472,139.784308
月島区民センター,131024,東京都,中央区,東京都中央区月島4-1-1,35.662063,139.782150
ほっとプラザはるみ,131024,東京都,中央区,東京都中央区晴海5-2-3,35.652050,139.774787
生涯学習センター,131032,東京都,港区,東京都港区新橋3-16-3,35.665560,139.757102
障害保健福祉センター,131032,東京都,港区,東京都港区芝1-8-23,35.651643,139.755555
芝小学校,131032,東京都,港区,東京都港区芝2-21-3,35.651302,139.750180
三田図書館,131032,東京都,港区,東京都港区芝5-28-4,35.647140,139.745222
御成門中学校,131032,東京都,港区,東京都港区西新橋3-25-30,35.661632,139.750369
神明子ども中高生プラザ・神明いきいきプラザ,131032,東京都,港区,東京都港区浜松町1-6-7,35.658765,139.757662
エコプラザ,131032,東京都,港区,東京都港区浜松町1-13-1,35.658849,139.756888
御成門小学校,131032,東京都,港区,東京都港区芝公園3-2-4,35.660984,139.749519
みなと図書館,131032,東京都,港区,東京都港区芝公園3-2-25,35.659896,139.750124
三田中学校,131032,東京都,港区,東京都港区三田4-13-15,35.645227,139.740847
スポーツセンター,131032,東京都,港区,東京都港区芝浦1-16-1,35.646636,139.751789
芝浦小学校,131032,東京都,港区,東京都港区芝浦4-8-18,35.638159,139.746311
芝浦アイランド児童高齢者交流プラザ,131032,東京都,港区,東京都港区芝浦4-20-1,35.640373,139.752419
みなとリサイクル清掃事務所,131032,東京都,港区,東京都港区港南3-9-59,35.634389,139.751393
港南中学校,131032,東京都,港区,東京都港区港南4-3-3,35.631196,139.749112
港南こども中高生プラザ(プラリバ）,131032,東京都,港区,東京都港区港南4-3-7,35.631148,139.749908
港南図書館,131032,東京都,港区,東京都港区港南3-3-17,35.632963,139.749559
港南の郷,131032,東京都,港区,東京都港区港南3-3-23,35.633288,139.749211
港南小学校,131032,東京都,港区,東京都港区港南4-3-28,35.629230,139.749645
お台場学園小・中学校,131032,東京都,港区,東京都港区台場1-1-5,35.633646,139.777123
台場児童館,131032,東京都,港区,東京都港区台場1-5-1,35.630066,139.777042
福祉プラザさくら川,131032,東京都,港区,東京都港区新橋6-19-2,35.661188,139.753786
虎ノ門いきいきプラザ,131032,東京都,港区,東京都港区虎ノ門1-21-10,35.667906,139.748713
三田いきいきプラザ,131032,東京都,港区,東京都港区芝4-1-17,35.648753,139.749744
港勤労福祉会館,131032,東京都,港区,東京都港区芝5-18-2,35.647874,139.748513
赤羽小学校,131032,東京都,港区,東京都港区三田1-4-52,35.653232,139.742522
麻布小学校,131032,東京都,港区,東京都港区麻布台1-5-15,35.661831,139.738714
麻布区民センター,131032,東京都,港区,東京都港区六本木5-16-45,35.660737,139.735053
六本木中学校,131032,東京都,港区,東京都港区六本木6-8-16,35.660829,139.732256
旧飯倉小学校,131032,東京都,港区,東京都港区東麻布2-1-1,35.658164,139.742563
飯倉いきいきプラザ,131032,東京都,港区,東京都港区東麻布2-16-11,35.656904,139.740889
南麻布いきいきプラザ,131032,東京都,港区,東京都港区南麻布1-5-26,35.651435,139.735101
東町小学校,131032,東京都,港区,東京都港区南麻布1-8-11,35.650872,139.735835
ありすいきいきプラザ・麻布子ども中高生プラザ,131032,東京都,港区,東京都港区南麻布4-6-7,35.651038,139.727410
本村小学校,131032,東京都,港区,東京都港区南麻布3-9-33,35.649818,139.729960
笄小学校,131032,東京都,港区,東京都港区西麻布3-11-16,35.656504,139.724918
高陵中学校,131032,東京都,港区,東京都港区西麻布4-14-8,35.656898,139.720394
南山小学校,131032,東京都,港区,東京都港区元麻布3-8-15,35.657257,139.731123
赤坂区民センター,131032,東京都,港区,東京都港区赤坂4-18-13,35.674749,139.731634
サン・サン赤坂,131032,東京都,港区,東京都港区赤坂6-6-14,35.669760,139.737544
青山中学校,131032,東京都,港区,東京都港区北青山1-1-9,35.674193,139.722154
青山いきいきプラザ,131032,東京都,港区,東京都港区南青山2-16-5,35.669213,139.721211
青山小学校,131032,東京都,港区,東京都港区南青山2-21-2,35.669872,139.719059
青南いきいきプラザ,131032,東京都,港区,東京都港区南青山4-10-1,35.666466,139.717313
青南小学校,131032,東京都,港区,東京都港区南青山4-21-15,35.663505,139.716144
豊岡いきいきプラザ,131032,東京都,港区,東京都港区三田5-7-7,35.646502,139.739662
高輪区民センター,131032,東京都,港区,東京都港区高輪1-16-25,35.641950,139.734104
高輪子ども中高生プラザ,131032,東京都,港区,東京都港区高輪1-4-35,35.642419,139.734826
高輪台小学校,131032,東京都,港区,東京都港区高輪2-8-24,35.636238,139.734348
高輪いきいきプラザ,131032,東京都,港区,東京都港区高輪3-18-15,35.633251,139.735583
白金いきいきプラザ,131032,東京都,港区,東京都港区白金3-10-12,35.644894,139.731074
旧三光小学校,131032,東京都,港区,東京都港区白金3-18-2,35.644269,139.729135
旧神応小学校,131032,東京都,港区,東京都港区白金6-9-5,35.643634,139.724507
白金小学校,131032,東京都,港区,東京都港区白金台1-4-26,35.636812,139.728560
白金台いきいきプラザ,131032,東京都,港区,東京都港区白金台4-8-5,35.637614,139.725057
芝浦港南区民センター,131032,東京都,港区,東京都港区芝浦4-13-1,35.640524,139.748660
港南いきいきプラザ,131032,東京都,港区,東京都港区港南4-2-1,35.629715,139.747075
台場区民センター,131032,東京都,港区,東京都港区台場1-5-1,35.629796,139.777012
西麻布いきいきプラザ,131032,東京都,港区,東京都港区西麻布2-13-3,35.660855,139.722721
赤坂小学校,131032,東京都,港区,東京都港区赤坂8-13-29,35.669308,139.731031
赤坂中学校,131032,東京都,港区,東京都港区赤坂9-2-3,35.668009,139.731015
赤坂いきいきプラザ,131032,東京都,港区,東京都港区赤坂6-4-8,35.670358,139.734939
御田小学校,131032,東京都,港区,東京都港区三田4-11-38,35.643172,139.738034
白金の丘学園白金の丘小・中学校,131032,東京都,港区,東京都港区白金4-1-12,35.643626,139.726840
高松中学校,131032,東京都,港区,東京都港区高輪1-16-25,35.640817,139.733771
谷中小学校,131067,東京都,台東区,東京都台東区谷中2-9-16,35.723870,139.765205
忍岡小学校,131067,東京都,台東区,東京都台東区池之端2-1-22,35.714015,139.766920
台東育英小学校,131067,東京都,台東区,東京都台東区浅草橋2-26-8,35.699805,139.785570
松葉小学校,131067,東京都,台東区,東京都台東区松が谷1-13-16,35.712231,139.786471
東浅草小学校,131067,東京都,台東区,東京都台東区東浅草2-27-19,35.724439,139.798209
柏葉中学校,131067,東京都,台東区,東京都台東区下谷3-1-29,35.723719,139.786217
上野小学校,131067,東京都,台東区,東京都台東区東上野6-16-8,35.713586,139.783622
田原小学校,131067,東京都,台東区,東京都台東区雷門1-5-14,35.709988,139.792782
浅草小学校,131067,東京都,台東区,東京都台東区花川戸1-14-15,35.713529,139.799192
千束小学校,131067,東京都,台東区,東京都台東区浅草4-24-11,35.719207,139.793993
石浜小学校,131067,東京都,台東区,東京都台東区清川1-14-21,35.724929,139.803420
東泉小学校,131067,東京都,台東区,東京都台東区三ノ輪1-23-9,35.728498,139.792191
浅草中学校,131067,東京都,台東区,東京都台東区蔵前1-3-4,35.699968,139.789963
御徒町台東中学校,131067,東京都,台東区,東京都台東区台東4-13-16,35.706990,139.777440
上野中学校,131067,東京都,台東区,東京都台東区上野桜木1-14-55,35.721164,139.774722
中小企業振興センター,131067,東京都,台東区,東京都台東区小島2-9-18,35.706055,139.784296
駒形中学校,131067,東京都,台東区,東京都台東区北上野2-15-1,35.717453,139.784238
日野学園,131091,東京都,品川区,東京都品川区東五反田2-11-1,35.624555,139.728325
品川学園,131091,東京都,品川区,東京都品川区北品川3-9-30,35.617710,139.738086
城南小学校,131091,東京都,品川区,東京都品川区南品川2-8-21,35.613329,139.742746
城南第二小学校,131091,東京都,品川区,東京都品川区東品川3-4-5,35.615430,139.746151
鮫浜小学校,131091,東京都,品川区,東京都品川区東大井2-10-14,35.601716,139.740669
浜川小学校,131091,東京都,品川区,東京都品川区南大井4-3-27,35.598280,139.736203
鈴ヶ森小学校,131091,東京都,品川区,東京都品川区南大井4-16-2,35.594478,139.735242
台場小学校,131091,東京都,品川区,東京都品川区東品川1-8-30,35.620874,139.743779
東海中学校,131091,東京都,品川区,東京都品川区東品川3-30-15,35.612621,139.748971
浜川中学校,131091,東京都,品川区,東京都品川区東大井3-18-34,35.600200,139.737944
鈴ヶ森中学校,131091,東京都,品川区,東京都品川区南大井2-3-14,35.592644,139.737731
品川図書館,131091,東京都,品川区,東京都品川区北品川2-32-3,35.616935,139.742572
南大井文化センター,131091,東京都,品川区,東京都品川区南大井1-12-6,35.596293,139.737546
東品川児童センター,131091,東京都,品川区,東京都品川区東品川1-34-9,35.619128,139.746040
北品川児童センター,131091,東京都,品川区,東京都品川区北品川2-7-21,35.618822,139.743962
品川健康センター,131091,東京都,品川区,東京都品川区北品川3-11-22,35.616587,139.740732
東品川職員待機寮,131091,東京都,品川区,東京都品川区東品川3-1-5,35.617173,139.747379
北品川職員待機寮,131091,東京都,品川区,東京都品川区北品川3-11-17,35.616129,139.740060
東大井職員待機寮,131091,東京都,品川区,東京都品川区東大井2-16-12,35.600547,139.741536
南大井一丁目区営住宅,131091,東京都,品川区,東京都品川区南大井1-13-7,35.595309,139.737111
南大井五丁目区営住宅,131091,東京都,品川区,東京都品川区南大井5-7-10,35.598028,139.734161
南大井六丁目区営住宅,131091,東京都,品川区,東京都品川区南大井6-1-20,35.593164,139.731479
東大井三丁目区営住宅,131091,東京都,品川区,東京都品川区東大井3-6-18.19,35.602861,139.739397
第三日野小学校,131091,東京都,品川区,東京都品川区上大崎1-19-19,35.632801,139.723819
御殿山小学校,131091,東京都,品川区,東京都品川区北品川5-2-6,35.623258,139.732299
芳水小学校,131091,東京都,品川区,東京都品川区大崎3-12-22,35.619203,139.724769
第四日野小学校,131091,東京都,品川区,東京都品川区西五反田4-29-9,35.625630,139.712364
第一日野小学校,131091,東京都,品川区,東京都品川区西五反田6-5-32,35.622169,139.716098
新南大井ビル,131091,東京都,品川区,東京都品川区南大井1-13-4,35.594970,139.736901
第一ホテル東京シーフォート,131091,東京都,品川区,東京都品川区東品川2-3-14,35.624369,139.751303
沖ウィンテック㈱,131091,東京都,品川区,東京都品川区北品川1-19-3,35.623521,139.742508
リバーサイドマンションＡ棟・Ｂ棟,131091,東京都,品川区,東京都品川区東大井2-17-14,35.599644,139.741182
第三東個マンション,131091,東京都,品川区,東京都品川区南大井1-17-6,35.593997,139.738824
東大井スカイハイツ,131091,東京都,品川区,東京都品川区東大井2-13-10,35.600893,139.739686
ステーションプラザ立会川,131091,東京都,品川区,東京都品川区東大井2-23-4,35.598559,139.738554
サンライフ東品川,131091,東京都,品川区,東京都品川区東品川1-28-11,35.620005,139.744965
ニックハイム北品川,131091,東京都,品川区,東京都品川区北品川1-22-17,35.622083,139.740560
㈱コナミスポーツ＆ライフ,131091,東京都,品川区,東京都品川区東品川4-10-1,35.607945,139.745870
來福寺,131091,東京都,品川区,東京都品川区東大井3-13-1,35.601805,139.737672
アイルサイドテラス,131091,東京都,品川区,東京都品川区東品川1-32-3,35.620055,139.746163
六行会総合ビル,131091,東京都,品川区,東京都品川区北品川2-32-3,35.617049,139.742795
前田道路㈱品川営業所,131091,東京都,品川区,東京都品川区勝島1-3-20,35.598331,139.744164
立会小学校,131091,東京都,品川区,東京都品川区東大井4-15-9,35.604478,139.739689
都立国際高等学校,131105,東京都,目黒区,東京都目黒区駒場2-19-59,35.659294,139.678892
駒場小学校,131105,東京都,目黒区,東京都目黒区駒場3-11-13,35.659817,139.682075
第一中学校,131105,東京都,目黒区,東京都目黒区大橋2-11-1,35.654632,139.686429
都立駒場高等学校,131105,東京都,目黒区,東京都目黒区大橋2-18-1,35.654988,139.685451
菅刈小学校,131105,東京都,目黒区,東京都目黒区青葉台3-3-26,35.651507,139.692404
菅刈公園,131105,東京都,目黒区,東京都目黒区青葉台2-11-25,35.650312,139.693105
東山中学校,131105,東京都,目黒区,東京都目黒区東山1-24-31,35.646476,139.690227
東山小学校,131105,東京都,目黒区,東京都目黒区東山2-24-25,35.646920,139.685758
烏森小学校,131105,東京都,目黒区,東京都目黒区上目黒3-37-27,35.644365,139.692883
めぐろ学校サポートセンター,131105,東京都,目黒区,東京都目黒区中目黒3-6-10,35.639305,139.702768
中目黒小学校,131105,東京都,目黒区,東京都目黒区中目黒3-13-32,35.640072,139.698828
田道小学校,131105,東京都,目黒区,東京都目黒区目黒1-15-28,35.637594,139.709168
下目黒小学校,131105,東京都,目黒区,東京都目黒区目黒2-7-9,35.634260,139.709213
大鳥中学校,131105,東京都,目黒区,東京都目黒区下目黒3-23-18,35.630796,139.707607
不動小学校,131105,東京都,目黒区,東京都目黒区下目黒6-11-35,35.627081,139.699099
上目黒小学校,131105,東京都,目黒区,東京都目黒区五本木1-12-13,35.638735,139.690425
都立目黒高等学校,131105,東京都,目黒区,東京都目黒区祐天寺2-7-15,35.637093,139.694530
油面小学校,131105,東京都,目黒区,東京都目黒区中町1-5-4,35.632429,139.698664
目黒中央中学校,131105,東京都,目黒区,東京都目黒区中町2-37-38,35.634695,139.693894
五本木小学校,131105,東京都,目黒区,東京都目黒区五本木2-24-3,35.634187,139.687943
鷹番小学校,131105,東京都,目黒区,東京都目黒区中央町1-20-26,35.627744,139.689976
碑文谷公園及び碑文谷体育館,131105,東京都,目黒区,東京都目黒区碑文谷6-9-11、6-12-43,35.626550,139.682084
月光原小学校,131105,東京都,目黒区,東京都目黒区目黒本町4-15-3,35.623015,139.694919
向原小学校,131105,東京都,目黒区,東京都目黒区目黒本町6-7-15,35.618716,139.695783
第七中学校,131105,東京都,目黒区,東京都目黒区碑文谷1-1-33,35.622923,139.691764
碑小学校,131105,東京都,目黒区,東京都目黒区碑文谷1-18-2,35.619615,139.690589
原町小学校,131105,東京都,目黒区,東京都目黒区原町2-18-12,35.615525,139.690664
第九中学校,131105,東京都,目黒区,東京都目黒区洗足1-29-26,35.613560,139.694883
第八中学校,131105,東京都,目黒区,東京都目黒区碑文谷4-19-25,35.619685,139.682495
大岡山小学校,131105,東京都,目黒区,東京都目黒区平町2-3-1,35.615482,139.683004
中根小学校,131105,東京都,目黒区,東京都目黒区緑が丘1-1-1,35.612637,139.678543
第十一中学校,131105,東京都,目黒区,東京都目黒区緑が丘1-8-1,35.609469,139.679024
緑ヶ丘小学校,131105,東京都,目黒区,東京都目黒区緑が丘2-13-1,35.610299,139.673449
宮前小学校,131105,東京都,目黒区,東京都目黒区八雲3-13-21,35.615365,139.666880
めぐろ区民キャンパス,131105,東京都,目黒区,東京都目黒区八雲1-1-1,35.621050,139.673578
都立桜修館中等教育学校,131105,東京都,目黒区,東京都目黒区八雲1-1-2,35.621189,139.670960
八雲小学校,131105,東京都,目黒区,東京都目黒区八雲2-5-1,35.618062,139.671255
第十中学校,131105,東京都,目黒区,東京都目黒区八雲5-2-1,35.624320,139.668677
東根小学校,131105,東京都,目黒区,東京都目黒区東が丘1-20-1,35.627158,139.668027
自由ヶ丘学園高等学校,131105,東京都,目黒区,東京都目黒区自由が丘2-21-1,35.612244,139.666511
明正小学校,131121,東京都,世田谷区,東京都世田谷区成城3-3-1,35.635356,139.599266
砧小学校,131121,東京都,世田谷区,東京都世田谷区喜多見6-9-1,35.631746,139.605430
砧中学校,131121,東京都,世田谷区,東京都世田谷区成城1-10-1,35.633632,139.601264
用賀小学校,131121,東京都,世田谷区,東京都世田谷区上用賀6-14-1,35.636215,139.626425
用賀中学校,131121,東京都,世田谷区,東京都世田谷区上用賀5-15-1,35.630433,139.626828
京西小学校,131121,東京都,世田谷区,東京都世田谷区用賀4-27-4,35.628946,139.631370
瀬田小学校,131121,東京都,世田谷区,東京都世田谷区瀬田2-15-1,35.618509,139.631900
瀬田中学校,131121,東京都,世田谷区,東京都世田谷区瀬田2-17-1,35.618370,139.633414
桜町小学校,131121,東京都,世田谷区,東京都世田谷区用賀1-5-1,35.624531,139.642302
中町小学校,131121,東京都,世田谷区,東京都世田谷区中町4-23-1,35.617326,139.642777
玉川小学校,131121,東京都,世田谷区,東京都世田谷区中町2-29-1,35.610855,139.643411
東玉川小学校,131121,東京都,世田谷区,東京都世田谷区奥沢1-1-1,35.598559,139.680580
玉川中学校,131121,東京都,世田谷区,東京都世田谷区中町4-21-1,35.616765,139.643499
等々力小学校,131121,東京都,世田谷区,東京都世田谷区等々力7-26-1,35.616492,139.653665
尾山台小学校,131121,東京都,世田谷区,東京都世田谷区尾山台3-11-1,35.604599,139.654257
尾山台中学校,131121,東京都,世田谷区,東京都世田谷区尾山台3-27-23,35.605897,139.655953
八幡小学校,131121,東京都,世田谷区,東京都世田谷区玉川田園調布2-17-15,35.602783,139.666897
八幡中学校,131121,東京都,世田谷区,東京都世田谷区等々力6-4-1,35.610921,139.661209
九品仏小学校,131121,東京都,世田谷区,東京都世田谷区奥沢8-12-1,35.603266,139.660056
奥沢小学校,131121,東京都,世田谷区,東京都世田谷区奥沢3-1-1,35.599635,139.674951
区立総合運動場体育館,131121,東京都,世田谷区,東京都世田谷区大蔵4-6-1,35.630429,139.612363
聖ドミニコ学園,131121,東京都,世田谷区,東京都世田谷区岡本1-10-1,35.624570,139.620498
鎌田区民集会所,131121,東京都,世田谷区,東京都世田谷区鎌田2-1-24,35.617018,139.613316
砧南中学校,131121,東京都,世田谷区,東京都世田谷区鎌田3-13-20,35.621450,139.613673
駒澤大学玉川校舎,131121,東京都,世田谷区,東京都世田谷区宇奈根1-1-1,35.617909,139.608547
ゆうぽうと世田谷レクセンター,131121,東京都,世田谷区,東京都世田谷区鎌田2-17-1,35.619667,139.610480
鎌田区民センター,131121,東京都,世田谷区,東京都世田谷区鎌田3-35-1,35.622328,139.613416
氷川神社,131121,東京都,世田谷区,東京都世田谷区大蔵6-6-7,35.625075,139.611519
砧総合支所,131121,東京都,世田谷区,東京都世田谷区成城6-2-1,35.641253,139.600655
喜多見地区会館,131121,東京都,世田谷区,東京都世田谷区喜多見8-23-23,35.637084,139.589768
岡本地区会館,131121,東京都,世田谷区,東京都世田谷区岡本1-25-4,35.625051,139.619510
大蔵地区会館,131121,東京都,世田谷区,東京都世田谷区砧3-5-6,35.634869,139.610847
野毛区民集会所,131121,東京都,世田谷区,東京都世田谷区野毛2-4-4,35.600843,139.642878
宮坂区民センター,131121,東京都,世田谷区,東京都世田谷区宮坂1-24-6,35.647947,139.644760
世田谷地区会館,131121,東京都,世田谷区,東京都世田谷区世田谷2-25-10,35.640780,139.640470
三宿地区会館,131121,東京都,世田谷区,東京都世田谷区三宿2-7-10,35.653230,139.676930
池之上青少年会館,131121,東京都,世田谷区,東京都世田谷区代沢2-37-18,35.659349,139.673361
成城さくら児童館,131121,東京都,世田谷区,東京都世田谷区成城3-18-23,35.634124,139.597605
瀬田地区会館,131121,東京都,世田谷区,東京都世田谷区瀬田4-18-11,35.621410,139.627342
尾山台地区会館,131121,東京都,世田谷区,東京都世田谷区等々力2-17-14,35.605684,139.652563
上野毛地区会館,131121,東京都,世田谷区,東京都世田谷区中町2-33-11,35.611467,139.640931
杉並第一小学校,131156,東京都,杉並区,東京都杉並区阿佐谷北1-5-27,35.706407,139.636849
杉並第二小学校,131156,東京都,杉並区,東京都杉並区成田西3-4-1,35.693072,139.631841
旧杉並第四小学校,131156,東京都,杉並区,東京都杉並区高円寺北2-14-13,35.706623,139.653481
杉並第七小学校,131156,東京都,杉並区,東京都杉並区阿佐谷南3-19-2,35.702702,139.630980
西田小学校,131156,東京都,杉並区,東京都杉並区荻窪1-38-15,35.694691,139.622084
東田小学校,131156,東京都,杉並区,東京都杉並区成田東1-21-1,35.691522,139.638749
馬橋小学校,131156,東京都,杉並区,東京都杉並区高円寺北4-28-5,35.708735,139.643231
高円寺学園,131156,東京都,杉並区,東京都杉並区高円寺北1-4-11,35.706754,139.655114
杉森中学校,131156,東京都,杉並区,東京都杉並区阿佐谷北5-45-24,35.711887,139.641274
阿佐ヶ谷中学校,131156,東京都,杉並区,東京都杉並区阿佐谷南1-17-3,35.700507,139.636344
東田中学校,131156,東京都,杉並区,東京都杉並区成田東3-19-17,35.694314,139.634910
松溪中学校,131156,東京都,杉並区,東京都杉並区荻窪2-3-1,35.695905,139.621987
桃井第一小学校,131156,東京都,杉並区,東京都杉並区桃井2-6-1,35.712053,139.609067
桃井第五小学校,131156,東京都,杉並区,東京都杉並区下井草4-22-4,35.722074,139.619627
四宮小学校,131156,東京都,杉並区,東京都杉並区上井草2-12-26,35.721610,139.610126
沓掛小学校,131156,東京都,杉並区,東京都杉並区清水3-1-9,35.716311,139.620642
八成小学校,131156,東京都,杉並区,東京都杉並区井草2-25-4,35.728508,139.619781
東原中学校,131156,東京都,杉並区,東京都杉並区下井草1-28-5,35.717644,139.630591
中瀬中学校,131156,東京都,杉並区,東京都杉並区下井草4-3-29,35.719372,139.619534
井荻中学校,131156,東京都,杉並区,東京都杉並区今川2-13-24,35.718097,139.610426
高井戸第三小学校,131156,東京都,杉並区,東京都杉並区下高井戸4-16-24,35.672005,139.630861
浜田山小学校,131156,東京都,杉並区,東京都杉並区浜田山4-23-1,35.685570,139.629420
旧新泉小学校,131156,東京都,杉並区,東京都杉並区和泉1-44-26,35.675753,139.656088
方南小学校,131156,東京都,杉並区,東京都杉並区方南1-52-14,35.679544,139.658444
永福小学校,131156,東京都,杉並区,東京都杉並区永福2-16-33,35.673363,139.639418
向陽中学校,131156,東京都,杉並区,東京都杉並区下高井戸3-24-1,35.672526,139.634793
泉南中学校,131156,東京都,杉並区,東京都杉並区堀ノ内1-3-1,35.684262,139.655273
杉並第九小学校,131156,東京都,杉並区,東京都杉並区本天沼1-2-19,35.713631,139.632929
桃井第二小学校,131156,東京都,杉並区,東京都杉並区荻窪5-10-25,35.701767,139.617451
天沼小学校,131156,東京都,杉並区,東京都杉並区天沼2-46-3,35.710742,139.623069
天沼中学校,131156,東京都,杉並区,東京都杉並区本天沼3-10-20,35.711894,139.620826
保育室若杉,131156,東京都,杉並区,東京都杉並区天沼3-15-20,35.708572,139.618616
神明中学校,131156,東京都,杉並区,東京都杉並区南荻窪2-37-28,35.700327,139.609118
杉並第三小学校,131156,東京都,杉並区,東京都杉並区高円寺南1-15-13,35.699555,139.656528
杉並第六小学校,131156,東京都,杉並区,東京都杉並区阿佐谷南1-24-21,35.701510,139.643248
旧杉並第八小学校,131156,東京都,杉並区,東京都杉並区高円寺南2-40-24,35.701176,139.651129
杉並第十小学校,131156,東京都,杉並区,東京都杉並区和田3-55-49,35.696871,139.657509
大宮小学校,131156,東京都,杉並区,東京都杉並区堀ノ内1-12-16,35.683459,139.649496
堀之内小学校,131156,東京都,杉並区,東京都杉並区堀ノ内3-24-11,35.693161,139.646752
和田小学校,131156,東京都,杉並区,東京都杉並区和田2-30-21,35.690614,139.657124
済美小学校,131156,東京都,杉並区,東京都杉並区堀ノ内1-17-24,35.685475,139.649538
松ノ木小学校,131156,東京都,杉並区,東京都杉並区松ノ木1-2-26,35.687427,139.642726
高南中学校,131156,東京都,杉並区,東京都杉並区和田3-40-10,35.695621,139.657963
松ノ木中学校,131156,東京都,杉並区,東京都杉並区松ノ木1-4-1,35.686823,139.641016
大宮中学校,131156,東京都,杉並区,東京都杉並区堀ノ内1-16-38,35.686659,139.648057
和田中学校,131156,東京都,杉並区,東京都杉並区和田2-21-8,35.690403,139.658478
荻窪小学校,131156,東京都,杉並区,東京都杉並区宮前2-13-18,35.694966,139.611976
高井戸小学校,131156,東京都,杉並区,東京都杉並区高井戸西2-2-1,35.684300,139.614758
高井戸第二小学校,131156,東京都,杉並区,東京都杉並区久我山4-49-1,35.691807,139.599328
高井戸第四小学校,131156,東京都,杉並区,東京都杉並区西荻南1-8-16,35.698271,139.602313
松庵小学校,131156,東京都,杉並区,東京都杉並区松庵2-23-24,35.700120,139.593073
富士見丘小学校,131156,東京都,杉並区,東京都杉並区上高井戸2-16-13,35.679670,139.607130
高井戸東小学校,131156,東京都,杉並区,東京都杉並区高井戸東1-12-1,35.679990,139.619468
久我山小学校,131156,東京都,杉並区,東京都杉並区久我山5-18-7,35.686088,139.606141
宮前中学校,131156,東京都,杉並区,東京都杉並区宮前2-12-1,35.693255,139.610588
富士見丘中学校,131156,東京都,杉並区,東京都杉並区久我山2-20-1,35.682772,139.605711
高井戸中学校,131156,東京都,杉並区,東京都杉並区高井戸東1-28-1,35.681117,139.622275
西宮中学校,131156,東京都,杉並区,東京都杉並区宮前5-1-25,35.692586,139.601748
桃井第三小学校,131156,東京都,杉並区,東京都杉並区西荻北2-10-7,35.705375,139.602375
桃井第四小学校,131156,東京都,杉並区,東京都杉並区善福寺3-3-5,35.716966,139.594333
井荻小学校,131156,東京都,杉並区,東京都杉並区善福寺1-10-19,35.711663,139.596256
三谷小学校,131156,東京都,杉並区,東京都杉並区上井草3-14-12,35.719896,139.602040
井草中学校,131156,東京都,杉並区,東京都杉並区上井草3-20-11,35.721826,139.602463
荻窪中学校,131156,東京都,杉並区,東京都杉並区善福寺1-8-3,35.710314,139.596408
杉並和泉学園,131156,東京都,杉並区,東京都杉並区和泉2-17-14,35.674535,139.648873
